Country name,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
United States,331002647,328239523,104.451,38.3,0,1.688,9.315,0,0,0.25,47.51,2810927,2839076,2852747,3424996,179.22
Egypt,102334403,100388073,7.457,25.3,0,1.627,9.007,0,0,0.446,31.56,,,,,
Morocco,36910558,36471769,20.016,29.6,0,2.336,9.226,0,0,0.397,39.55,,,,,
Lebanon,6825442,6855713,21.508,31.1,0,1.891,8.956,0,0,0.107,31.83,,,,,
Saudi Arabia,34813867,34268528,17.875,31.9,0,1.25,8.897,0,0,0.651,45.9,,,,,
Jordan,10203140,10101694,37.577,23.2,0,1.895,8.961,0,0,0.465,33.1,,,,,
Syria,17500657,17070135,4.063,21.7,0,1.814,8.951,0,0,0.319,34.2,,,,,
Turkey,84339067,83429615,24.758,31.6,0,2.067,8.952,0,0,0.295,40.55,,,,,
Pakistan,220892331,216565318,4.607,23.5,0,1.048,8.577,0,0,0.277,33.45,,,,,
Indonesia,273523621,270625568,8.094,29.3,1,0.576,8.578,0,0,0.561,37.478,,,,,
Bangladesh,164689383,163046161,4.59,27.5,0,0.824,8.349,0,1,0.577,43.973,,,,,
United Kingdom,67886004,66834405,108.45,40.8,1,5.009,9.087,0,0,0.268,34.07,606874,613309,600532,696705,133.313
France,65273512,67059887,99.212,42,0,5.031,9.092,0,0,0.234,29.3,604105,607786,611291,678259,106.597
Germany,83783945,83132799,40.331,46.6,0,4.838,9.018,0,1,0.435,31.1,929351,952295,936772,1000855,73.548
Netherlands,17134873,17332850,67.26,43.2,0,5.574,9.06,0,0,0.522,27,149805,152991,151547,171175,114.468
Belgium,11589616,11484055,168.496,41.8,0,6.343,9.071,0,0,0.303,25.6,109278,110341,108436,128952,169.894
Spain,46754783,47076781,108.731,45.5,0,4.332,9.172,0,0,0.143,33.2,420589,423994,414914,501106,173.233
Italy,60461828,60297396,122.654,47.9,0,5.501,9.078,0,0,0.076,33.4,656891,638884,642964,756317,182.298
Poland,37846605,37970874,75.447,41.8,0,3.199,8.978,0,0,0.304,27.8,402533,411312,407624,485441,206.508
Hungary,9660350,9769949,98.723,43.4,0,3.555,9.011,0,0,0.253,28.7,131293,130624,129266,142921,128.939
Czech Republic,10708982,10669709,108.133,43.3,0,4.817,9.025,0,0,0.29,24,111007,112604,112040,131440,182.952
Romania,19237682,19356544,81.959,43,0,2.517,8.981,0,0,0.1,35.1,,,,,
Sweden,10099270,10285453,86.412,41,0,2.59,8.963,0,0,0.451,27,91627,91920,88545,99647,87.812
Greece,10423056,10716322,46.416,45.3,0,2.327,9.026,0,1,0.124,32.3,124069,119952,124538,132966,95.679
Denmark,5792203,5818553,22.409,42.3,0,3.953,9.006,0,1,0.572,27.8,53103,55076,53805,55477,25.534
Iran,83992953,82913906,65.747,32.4,0,1.707,8.809,0,0,0.367,39.97,,,,,
Hong Kong S.A.R. of China,7496988,7451000,1.974,44.8,0,1.179,8.044,1,0,0.318,48.275,45883,47478,48706,50653,44.117
Singapore,5850343,5703569,0.496,42.4,1,1.26,8.426,1,1,0.869,45.2,20905,21282,21446,22000,13.658
Japan,126476458,126264931,2.603,48.2,1,0.863,8.39,1,0,0.317,33.9,1340567,1362470,1387775,1376426,10.146
China,1439323774,1397715000,0.332,38.7,0,1.097,8.213,1,0,0.516,46.7,,,,,
India,1380004385,1366417754,10.778,28.2,0,0.937,8.532,0,0,0.526,39.334,,,,,
Venezuela,28435943,28515829,3.615,29,0,0.891,9.564,0,0,0.12,37.8,,,,,
Brazil,212559409,211049527,91.715,33.5,0,0.657,9.666,0,0,0.115,54,1312663,1316719,1349802,1571383,115.667
Mexico,128932753,127575529,97.576,29.3,0,0.848,9.434,0,0,0.129,47.5,701160,718206,728889,1045794,257.075
Nigeria,206139587,200963599,0.625,18.1,0,1.023,9.279,0,0,0.2,44.894,,,,,
Kenya,53771300,52573973,3.106,20,0,0.781,9.119,0,0,0.331,40.78,,,,,
Tanzania,59734213,58005463,0.035,17.7,0,0.732,9.153,0,0,0.621,37.78,,,,,
